               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  74,              1.5743,              1.1217,              1.5762,             0.56423,              0.4066,             0.41913,             0.26897,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,               1.581,              1.1284,               1.577,             0.60249,             0.38749,             0.42443,             0.27118,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.6019,              1.1352,              1.5866,             0.58197,             0.39668,              0.4265,              0.2736,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.5906,              1.1264,              1.5729,             0.55445,             0.39979,             0.42869,              0.2729,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.5606,              1.1153,              1.5809,             0.57375,             0.39898,             0.42346,             0.27136,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.6198,              1.1395,              1.5969,             0.60367,             0.38199,             0.42321,             0.27383,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.5966,              1.1376,              1.5887,             0.60912,             0.36962,             0.41939,             0.27063,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.5539,              1.1154,               1.571,             0.58409,             0.39748,             0.43141,             0.27808,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.5445,              1.1029,              1.5531,             0.59567,             0.38216,              0.4209,             0.27258,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.5724,              1.1276,              1.5763,             0.64037,             0.36521,             0.42747,             0.27376,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.5936,              1.1318,               1.583,             0.59873,             0.38719,              0.4237,             0.27535,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.5265,              1.1232,              1.5869,             0.60453,             0.37768,             0.41902,              0.2712,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.4765,              1.0912,              1.5683,             0.59095,             0.37831,             0.41647,             0.26781,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
